wl_home,season,days_between_games_home,avg_min_home,avg_fgm_home,avg_fga_home,avg_3pm_home,avg_3pa_home,avg_ftm_home,avg_fta_home,avg_oreb_home,avg_dreb_home,avg_treb_home,avg_ast_home,avg_stl_home,avg_blk_home,avg_tov_home,avg_pf_home,avg_pts_home,avg_plus_minus_home,avg_3pm_diff_home,avg_ftm_diff_home,avg_reb_diff_home,avg_win_home,avg_fg_pct_home,avg_3p_pct_home,avg_ft_pct_home,avg_true_pct_home,days_between_games_away,avg_min_away,avg_fgm_away,avg_fga_away,avg_3pm_away,avg_3pa_away,avg_ftm_away,avg_fta_away,avg_oreb_away,avg_dreb_away,avg_treb_away,avg_ast_away,avg_stl_away,avg_blk_away,avg_tov_away,avg_pf_away,avg_pts_away,avg_plus_minus_away,avg_3pm_diff_away,avg_ftm_diff_away,avg_reb_diff_away,avg_win_away,avg_fg_pct_away,avg_3p_pct_away,avg_ft_pct_away,avg_true_pct_away
1,2019,2,240.0,35.0,84.5,9.5,27.0,23.5,30.0,9.5,38.0,47.5,21.0,3.0,6.0,14.5,28.0,103.0,3.5,2.0,-1.5,-6.5,0.5,0.41420118343195267,0.35185185185185186,0.7833333333333333,0.5271238485158649,1,240.0,41.5,94.0,16.0,45.0,19.0,27.0,10.5,35.0,45.5,21.5,7.5,5.5,15.0,21.5,118.0,-5.0,7.0,5.0,-3.5,0.5,0.44148936170212766,0.35555555555555557,0.7037037037037037,0.5572346052134493
0,2019,2,240.0,39.5,89.0,7.5,21.0,27.0,34.0,13.5,32.5,46.0,21.5,4.5,1.0,15.0,24.5,113.5,-10.0,-4.5,4.5,4.5,0.0,0.4438202247191011,0.35714285714285715,0.7941176470588235,0.5458830319353597,2,240.0,41.0,86.5,12.0,33.0,18.0,27.0,9.0,33.5,42.5,23.0,8.0,4.0,21.5,30.5,112.0,-16.5,-0.5,-9.0,-1.0,0.0,0.47398843930635837,0.36363636363636365,0.6666666666666666,0.5692213864606628
0,2019,2,240.0,33.5,93.0,8.5,35.0,20.5,30.0,15.5,33.0,48.5,19.5,8.5,5.0,14.0,25.0,96.0,-12.0,-0.5,-1.5,-4.5,0.0,0.3602150537634409,0.24285714285714285,0.6833333333333333,0.4519774011299435,2,240.0,49.5,95.5,8.5,22.0,15.5,22.0,7.0,31.0,38.0,20.5,7.0,2.5,11.0,26.5,123.0,-13.0,-6.0,-9.0,-10.0,0.0,0.518324607329843,0.38636363636363635,0.7045454545454546,0.5847119224187107
1,2019,3,240.0,43.0,89.0,15.5,40.0,14.0,20.5,11.0,42.5,53.5,26.5,7.0,6.0,19.0,25.5,115.5,9.0,4.5,-2.5,12.5,1.0,0.48314606741573035,0.3875,0.6829268292682927,0.589165476433381,2,240.0,40.0,94.33333333333333,11.0,32.0,19.666666666666668,26.0,11.0,31.666666666666668,42.666666666666664,19.333333333333332,10.0,2.6666666666666665,11.666666666666666,22.333333333333332,110.66666666666667,5.0,0.6666666666666666,-1.6666666666666667,-6.333333333333333,0.3333333333333333,0.42402826855123676,0.34375,0.7564102564102564,0.5231312240010084
0,2019,2,240.0,44.5,92.0,14.0,34.5,21.5,24.0,11.0,39.0,50.0,22.5,7.0,6.5,14.5,20.0,124.5,11.0,4.0,5.0,7.0,1.0,0.483695652173913,0.4057971014492754,0.8958333333333334,0.6069617784711389,2,240.0,37.5,85.0,10.0,32.5,27.5,35.5,8.0,30.5,38.5,19.5,9.0,12.0,12.5,29.0,112.5,-2.5,-1.0,0.5,-15.0,0.0,0.4411764705882353,0.3076923076923077,0.7746478873239436,0.5590339892665473
0,2019,2,240.0,46.5,96.5,7.5,31.0,16.5,23.5,8.5,36.5,45.0,25.5,9.0,8.0,13.0,23.5,117.0,-9.0,-7.0,-7.0,-9.0,0.0,0.48186528497409326,0.24193548387096775,0.7021276595744681,0.5475477349307375,2,240.0,41.0,96.5,12.0,27.5,16.0,21.5,17.0,29.0,46.0,25.5,4.0,4.0,9.0,19.5,110.0,-4.5,1.5,-4.0,0.0,0.5,0.42487046632124353,0.43636363636363634,0.7441860465116279,0.5190637976594941
1,2019,2,240.0,42.333333333333336,90.66666666666667,12.333333333333334,32.333333333333336,18.333333333333332,25.0,11.333333333333334,36.666666666666664,48.0,22.0,4.666666666666667,5.0,13.333333333333334,25.666666666666668,115.33333333333333,9.333333333333334,1.0,-2.3333333333333335,3.0,1.0,0.46691176470588236,0.38144329896907214,0.7333333333333333,0.5672131147540984,2,240.0,41.666666666666664,92.33333333333333,16.333333333333332,39.333333333333336,15.333333333333334,21.666666666666668,11.0,34.333333333333336,45.333333333333336,25.333333333333332,6.666666666666667,8.333333333333334,13.0,21.0,115.0,10.666666666666666,6.0,0.6666666666666666,-4.666666666666667,0.6666666666666666,0.45126353790613716,0.4152542372881356,0.7076923076923077,0.5644633507853403
1,2019,2,240.0,43.5,93.0,13.5,41.5,19.5,27.0,12.5,27.5,40.0,28.5,7.5,6.5,12.5,22.0,120.0,-8.5,-3.0,-4.5,1.5,0.5,0.46774193548387094,0.3253012048192771,0.7222222222222222,0.5720823798627003,2,240.0,44.0,94.0,9.0,27.0,15.0,19.0,5.0,35.0,40.0,27.0,4.0,4.5,11.5,21.5,112.0,-10.5,-6.0,-7.5,-12.0,0.0,0.46808510638297873,0.3333333333333333,0.7894736842105263,0.5470887065259867
1,2019,1,240.0,42.333333333333336,87.0,8.0,24.666666666666668,17.333333333333332,20.0,10.333333333333334,36.666666666666664,47.0,25.666666666666668,7.0,6.333333333333333,18.666666666666668,27.0,110.0,2.3333333333333335,-3.6666666666666665,-6.666666666666667,3.6666666666666665,0.6666666666666666,0.48659003831417624,0.32432432432432434,0.8666666666666667,0.5741127348643007,2,240.0,36.5,79.0,15.0,36.5,18.0,25.5,8.0,34.0,42.0,27.5,5.5,3.0,15.5,24.0,106.0,-3.5,5.5,-1.0,-4.0,0.5,0.4620253164556962,0.410958904109589,0.7058823529411765,0.5874528929283973
0,2019,2,240.0,38.333333333333336,92.66666666666667,11.333333333333334,32.666666666666664,15.0,19.0,13.0,37.333333333333336,50.333333333333336,23.666666666666668,6.333333333333333,4.333333333333333,15.333333333333334,24.333333333333332,103.0,2.6666666666666665,1.3333333333333333,0.0,3.0,0.6666666666666666,0.4136690647482014,0.3469387755102041,0.7894736842105263,0.509766398310677,2,240.0,38.666666666666664,92.66666666666667,9.666666666666666,28.333333333333332,15.333333333333334,22.333333333333332,13.333333333333334,34.666666666666664,48.0,23.0,7.333333333333333,7.0,15.333333333333334,18.666666666666668,102.33333333333333,-10.0,-4.666666666666667,1.3333333333333333,-3.0,0.3333333333333333,0.4172661870503597,0.3411764705882353,0.6865671641791045,0.4992194614283856
